id;employer_id;user_id;user_country;client_type;slug;name;description;skill_id;subcategory_id;type;budget;status;el1;created
3155523;5434139;5436873;BR;rebuy;reformulacao-de-pagina-empresarial;Reformulação de página empresarial;"Temos esse página: https://biome4all.com.br/
Mas ela está um pouco desatualizada, então queremos reformular duas páginas existentes e adicionar duas páginas novas:
1) Home: reformular
2) Serviços > Solos: reformular
3) Serviços > Ruminantes: criar nova página
4) Serviços > Ambiental: criar nova página

Temos ""wireframes"" dos conteúdos da página em powerpoint mesmo e também material da marca e exemplos de aplicação.
Nos exemplos de aplicação, pode ver que a identidade visual atual está em desacordo com os mockups que temos de acordo com o manual da marca, então além de atualizar o conteúdo, gostaríamos de harmonizar a apresentação de nosso site de acordo com esse material.";67;497;fixed;entre 100 y 250 usd;finished;VERDADEIRO;2025-7-3, 11:56
3155524;434601;434827;BR;rebuy;desenvolvimento-do-site-de-e-commerce-nuvemshop;Desenvolvimento do site de e-commerce (Nuvemshop);"O trabalho em questão será utilizar um dos temas prontos da plataforma ""Nuvemshop"" para criar um site responsivo e com design moderno, atrativo e adequação do tema a identidade visual da marca, com isso o profissional precisa conhecer a ferramenta a ser utilizada para extrair o máximo de funcionalidades possível, será voltado para e-commerce tradicional para venda de produtos físicos online.";437;747;fixed;entre 100 y 250 usd;rating;VERDADEIRO;2025-7-3, 11:58
3155555;12202333;12205387;CO;new;proyectos-en-autocad-2d-3d-y-revit;Proyectos en Autocad 2d, 3d y revit.;Desarrollar bosquejos a mano alzada (levantamientos arquitectónicos) de construcciones de viviendas multifamiliar y unifamiliar, para posterior digitalización con herramientas de diseño y dibujo.;545;875;fixed;entre 500 y 1000 usd;cancelled;FALSO;2025-7-3, 12:24
3155571;1635415;1638248;US;rebuy;filters-sort-by-show-on-mobile-version;Filters+Sort by: show on mobile version;Visualizado de módulo de filtros y orden en versión móvil. Los módulos estàn instalados pero no se visualiza correctamente en la versión móvil;67;146;fixed;entre 100 y 250 usd;finished;FALSO;2025-7-3, 12:33
3155597;12144588;12147627;MX;new;desarrollo-de-app-para-seguimiento-de-clientes;Desarrollo de app para seguimiento de clientes.;"Co-crear una app desarrollando 100% de la funcionalidad para el registro de nuestro proyecto.
Llevar registro de visitas, clientes y likes de los lugares ofertados.";67;228;fixed;entre 100 y 250 usd;open;VERDADEIRO;2025-7-3, 12:48
3155633;12202779;12205833;BR;new;projeto-estrutura-e-arquitetonico;Projeto estrutura e arquitetonico;"Projeto estrutural e arquitetônico, executado em radier

Casa 1:
1 suíte (quarto da suíte com 22 metros quadrados, banheiro da suíte com 14 metros quadrados)
Sala com 20 metros quadrados 
Cozinha com 20 metros quadrados 
Dispensa da cozinha com 4,5 metros quadrados 
Banheiro social com 4,5 metros quadrados 
Lavanderia com 4,5 metros quadrados 
1 Garagem tamanho padrão brasileiro 

Casa 2:
1 suíte (quarto da suíte com 22 metros quadrados, banheiro da suíte com 14 metros quadrados)
Sala com 20 metros quadrados 
Cozinha com 20 metros quadrados 
Dispensa da cozinha com 4,5 metros quadrados 
Banheiro social com 4,5 metros quadrados 
Lavanderia com 4,5 metros quadrados 
1 Garagem tamanho padrão brasileiro 

Casa 3:
1 suíte (quarto da suíte com 22 metros quadrados, banheiro da suíte com 14 metros quadrados e closet com 14 metros quadrados)
1 suíte (quarto da suíte com 16 metros quadrados, banheiro da suíte com 6 metros quadrados)
Sala com 30 metros quadrados 
Cozinha com 30 metros quadrados 
Dispensa da cozinha com 4,5 metros quadrados 
Banheiro social com 4,5 metros quadrados 
Lavanderia com 10 metros quadrados 
1 quarto de serviço com 10 metros quadrados 
1 quarto se serviço com 5 metros quadrados 
2 Garagem tamanho padrão brasileiro

Salão comercial 1: medida da frente 12,50 metros, 44 metros de fundo, 6 metros de altura, telhado embutido, banheiro 3 metros quadrados, copa 3 metros quadrados, escritório 15 metros quadrados.

Salão comercial 2: medida da frente 12,50 metros, 44 metros de fundo, 6 metros de altura, telhado embutido, banheiro 3 metros quadrados, copa 3 metros quadrados. 

Métodos construtivos: 
Blocok medida unitária:  90 cm x 90 cm x 10 cm
Bloco celular, medida unitária: 49 cm x 99 cm x 15 cm
Eps monolítico medida unitária 3000 mmx1000 mm x 150 mm
Bloco estrutural medida unitária: 19 cm x 19 cm x 39 cm
Bloco cerâmico estrutural medida unitária:
14  cm x 19 cm x 39 cm";545;875;fixed;entre 100 y 250 usd;open;VERDADEIRO;2025-7-3, 13:19
3155646;6591303;6594024;BR;rebuy;correcao-em-indexicacao-de-paginas;Correção em Indexicação de Páginas;"Meu site está com erros que o impedem as páginas de serem indexicadas corretamentes. Os erros são Página com redirecionamento (63 páginas); Cópia sem página canônica selecionada pelo usuário (28 páginas); Não encontrado (12 páginas); Rastreada, mas não indexada no momento (36 páginas); Cópia, o Google e o usuário selecionaram uma página canônica diferente (14 páginas); Erro no servidor (2 páginas); Excluída pela tag ""noindex"" (1 pagina). NÃO busco por dicas de seo em um pdf. Busco por um profissional que entenda de programação e que altere o código do site, para corrigir esses erros. O pagamento no Workana só sera realizado quando 90% ou mais das páginas passarem na validação do google search console.";67;497;fixed;entre 100 y 250 usd;open;VERDADEIRO;2025-7-3, 13:25
3155680;9564080;9566773;BR;new;projeto-de-criadouro-para-suinos;Projeto de criadouro para suinos;Projeto de pocilga simples para criação de suínos, com 6 baias (5 para matrizes de 2,5x2m e 1 para reprodutor de 3x2,5m), corredor central de 1,2m, estrutura em alvenaria, piso cimentado com caimento, cobertura de telha fibrocimento e portas simples. ÁRea total aproximada: 10m x 3,7m. Criação será manual e foco é venda de leitões após o desmame.;545;875;fixed;entre 0 y 50 usd;finished;VERDADEIRO;2025-7-3, 13:50
3155684;12203070;12206124;BR;new;edicao-de-site-na-nuvem-shop;Edição de site na nuvem shop;Preciso de alguém que edite meu site na nuvem shop. Colocando cores, banners e produtos valor a pagar 30 reais, se ficar perfeito 50 ou mais;67;146;fixed;entre 100 y 250 usd;open;VERDADEIRO;2025-7-3, 13:51
3155693;2891748;2894541;BR;rebuy;ebook-com-1356-palavras;Ebook Com 1356 Palavras;"PROFISSIONAL PARA criar/estruturar um ebook 
tem 1356 palavras
organizar e montar o layout 
tempo de execução de 7 dias 
preciso de apresentação de 3 modelos para escolha";437;747;fixed;entre 50 y 100 usd;open;VERDADEIRO;2025-7-3, 13:57
3155701;12203130;12206185;US;new;app-con-roles-multiples;App con roles múltiples;"Hola, estoy buscando un programador que pueda ayudarme a desarrollar una app con roles múltiples (admin, usuario tipo A y usuario tipo B), donde:
	•	El usuario tipo A pueda registrar datos de clientes potenciales (nombre, número, producto deseado).
	•	El usuario tipo B tenga acceso a los registros y pueda marcar si la venta fue completada.
	•	Todo debe quedar registrado en la base de datos con historial, control de pagos y comisiones.
	•	La app debe tener flujos automatizados de revisión, validación, penalizaciones por mal uso y filtros inteligentes.
	•	Además, necesito control de acceso por rol, paneles separados para cada tipo de usuario y un sistema de rotación justo de oportunidades.
	•	No es ecommerce ni red social. Es una herramienta de conexión entre personas y negocios, con una estructura de recompensa bien definida.

Ya tengo el modelo de negocio, diseño, estructura y hasta flujos legales.";67;228;fixed;entre 500 y 1000 usd;open;VERDADEIRO;2025-7-3, 14:05
3155716;4019609;4022380;BR;rebuy;criacao-e-configuracao-de-ate-10-itens-atraves-da-loja-integrada;Criação e configuração de até 10 itens através da Loja Integrada;Preciso da criação de um ecommerce completo utilizando loja integrada. O trabalho deve incluir a criação do site, cadastro dos produtos, categorias e SKU's. Além disso, a configuração do ERP, Melhor Envio e configuração dos fretes na plataforma.;67;146;fixed;entre 500 y 1000 usd;cancelled;FALSO;2025-7-3, 14:10
3155734;12192769;12195820;PT;new;solara-project-investments-consultancy;Solara Project Investments & Consultancy;"Uma plataforma digital de investimentos worldwide. 
Um espaço retentor, gerador e distribuidor de conteúdo informacional e serviços voltados para civis interessados em soluções e investimentos rentáveis nos setores imobiliário, financeiro e comunicacional.  

A Solara nasce da convicção de que a verdadeira prosperidade é aquela que se enraíza na consciência.
Somos uma plataforma de investimentos financeiros e imobiliários para quem busca mais do que retorno: busca significado, impacto, e crescimento com valores.
Inspirados na inteligência da natureza e na energia vital do Sol, acreditamos que investir é também um gesto espiritual — uma escolha que reflete quem somos e o mundo que desejamos construir.";67;497;fixed;entre 100 y 250 usd;open;FALSO;2025-7-3, 14:19
3155790;5739195;5741925;AR;new;indole;Indole.;"Hola,

Un gusto saludarte, espero marche todo bien por allí.

Te escribo porque en el proyecto para el cual trabajo estamos en búsqueda de un diseñador de ui/ux y ví tu perfil en los resultados.

Por si te interesa te comento un poco de contexto: trabajo para una empresa pequeña Catalana de proyectos digitales, actualmente estamos en planificación y desarrollo de un proyecto del área inmobiliaria en el cual requerimos apoyo de un diseñador que nos entregue un diseño en Figma y un diseño de branding ligero, además de acompañarnos en decidir qué secciones ponemos, opinión sobre el copy, UX..

Si te interesa solo avisame y comentame un poco si se ajusta a tu perfil ;) comentar parte de tu experiencia en proyectos similares sería un plus ;)

Cualquier cosa preguntame con confianza.
Eduar";437;747;fixed;entre 500 y 1000 usd;cancelled;VERDADEIRO;2025-7-3, 14:44
3155797;12203535;12206590;PE;new;disenos-creativos-edicion-en-lightroom-para-tus-proyectos;Diseños Creativos + Edición en Lightroom para tus Proyectos;"¡Hola! Soy diseñador gráfico en formación con manejo de herramientas como Canva, Lightroom Classic y otras apps de Adobe.

Me especializo en crear contenido visual atractivo y moderno, ideal para redes sociales, eventos, flyers, emprendimientos e iglesias.

También realizo edición de fotos profesional en Lightroom, logrando resultados limpios, bien iluminados y con estilo.

Ofrezco:
Flyers digitales para eventos y redes
Posts para Instagram y Facebook
Edición de fotos en Lightroom (básica y media)
Logos simples y portadas para redes

Siempre estoy mejorando mis habilidades y me comprometo a entregar diseños de calidad, adaptados a lo que el cliente realmente necesita. ¡Trabajemos juntos!";437;747;fixed;entre 50 y 100 usd;cancelled;FALSO;2025-7-3, 14:50
3155801;11719095;11721984;EC;rebuy;branding-de-marca-36;Branding de Marca;Necesito modernizar la marca y crear un nuevo concepto de comunicación. Es la marca de una academia de educacion y con la nueva imagen necesito tener banner de youtube, post de comunicación interna y comunicación a clientes. Necesito el diseño de una landing page de una carta de ventas.;437;676;fixed;entre 100 y 250 usd;open;VERDADEIRO;2025-7-3, 14:51
3155804;11570789;11573618;AR;new;manual-de-marca-para-perfil-profesional;Manual de marca para perfil profesional;Hola, quisiera contratar un freelance para la confección de mi manual de marca. Tengo una idea orientada de lo que quiero transmitir. Necesito incluir logotipo, paleta de colores, tipografía, usos, etc. Valorare personas de argentina o que conozcan sobre la cultura musical de nuestro país. Me gustaría que en la oferta mencionen que incluirán, en qué herramientas se trabajará, cuáles serán los entregables y los plazos. No quiero que me envíen todo listo, quiero ir teniendo intercambios parciales para ajustar. Además, me gustaría me envíen algún ejemplo, de manual de marca que hayan realizado, ideal si es de servicios profesionales.;437;676;fixed;entre 50 y 100 usd;cancelled;VERDADEIRO;2025-7-3, 14:52
3155845;2955385;2958177;BR;new;criacao-de-landing-page-801;Criação de landing page;Tenho um modelo de landing page para criação de uma pagina completa para mim peço que seja me diga se é possivel a criação do mesmo para wordpress total. peço que coloque um formulário para captura do mesmo;67;858;fixed;entre 50 y 100 usd;escrowing;VERDADEIRO;2025-7-3, 15:15
3155868;593082;593313;BR;rebuy;passar-as-telas-de-um-arquivo-em-pdf-para-o-figma;Passar as telas de um arquivo em Pdf para o Figma;"Olá, preciso passar para o Figma as telas deste app educacional. Ele tem cerca de 27 telas. Consiste em duas partes principais: Telas focadas no usuário estudante, que acessa o app para fazer testes e receber guias de estudos, enquanto tem a parte do usuário professor da escola, que cria testes, adiciona perguntas, cria categorias, etc. Existe também 1 tela geral, que é a tela de login que todos passam por ela, e a tela interna do painel do super admin, que será o desenvolvedor do app.

Gostaria que mantivesse a estrutura geral como estou mostrando no PDF. Porém, alguns elementos podem ser modificados.. Gráficos, posição de botões, textos, etc.. As telas que enviei no PDF são uma inspiração para o que deve ser feito. O importante é seguir os pontos que estão escritos nas descrições de cada slide.

Os textos do App deve ser em português.. Mas eu deixei as descrições em inglês para facilitar.

O app será acessado via navegador web responsivo, e eu gostaria que tivesse navegação entre os botões e telas.

Esta é a primeira versão do App. Eventualmente poderá haver modificações, então conto com você para ajudar em trabalhos futuros.

Eu também preciso que ele esteja pronto até esta próxima segunda. Estou 100% a disposição para ajudar no processo de desenvolvimento e tirar dúvidas.";437;747;fixed;entre 100 y 250 usd;finished;VERDADEIRO;2025-7-3, 15:27
3155869;8526716;8529417;CL;new;configurar-ga4-a-pagina-web-otros;Configurar Ga4 A Pagina Web + Otros;"Hola,
Favor enviar cotización por:

Conectar sitio web www.geinselift.com( cpanel ) a Analytics y dejar todos los botones de contacto configurados y midiendo información. (Botón WhatsApp, formularios, teléfono, etc.)

Conectar Analytics con Ads correctamente. (Los tengo conectados, pero algo ocurre que no arroja muchos datos)

Tengo problemas con las audiencias en general, al parecer por GA4 no las arroja correctamente.

Configurar en Ads las conversiones, ya que los últimos meses han bajado.

Ver si las tres campañas actuales están bien encaminadas y bien configuradas.

Dejar todo conectado en G Marketing Platform

Quedo atento

Saludos.";499;307;fixed;entre 100 y 250 usd;open;VERDADEIRO;2025-7-3, 15:27
3155886;12204054;12207110;TR;new;consultoria-seo-wordpress-com-rank-math-melhorar-pontuacao-e-estrutura-on-page;Consultoria Seo Wordpress com Rank Math – Melhorar pontuação e estrutura on-page;"Estou buscando um profissional com experiência em SEO on-page para WordPress, focado em melhorar a visibilidade orgânica de um site institucional voltado a serviços internacionais (cidadania por investimento, offshore, private banking).

O objetivo é realizar uma otimização completa, incluindo:

Pesquisa e aplicação de palavras-chave estratégicas

Otimização de títulos, meta descriptions e URLs

Estruturação correta com H1, H2, etc.

Otimização de imagens (nome e alt text)

Sugestões de conteúdo, links internos e externos

Verificação técnica com Rank Math (já está instalado, se necessário)";499;307;fixed;entre 50 y 100 usd;escrowing;FALSO;2025-7-3, 15:44
3155941;11798124;11801051;ES;new;buscamos-consultor-a-seo-onsite-offpage;Buscamos Consultor/a Seo (Onsite + Offpage);¿Eres un/a apasionado/a del SEO? Estamos buscando un/a Consultor/a seo con experiencia demostrable tanto en seo onsite como offpage, para colaborar en proyectos mensuales.;499;307;hourly;entre 15 y 45 usd/hs;open;VERDADEIRO;2025-7-3, 16:17
3155951;11605669;11608509;BR;rebuy;producao-de-ebook-de-2-paginas;"""Produção De Ebook De 2 Páginas""";Procuro programador ou desing para confecção de alguns ebooks de no máximo 3 páginas (2 considero o ideal). Solicito orçamento de alguém que já tenha realizado alguns e possa fazer com um design bonito e atraente, com formação de formulário de captação.;437;747;fixed;entre 0 y 50 usd;rating;VERDADEIRO;2025-7-3, 16:24
3155978;12200888;12203941;GB;new;seo-ecommerce-16;Seo Ecommerce;"Hola! Mi nombre es Gael y estoy buscando un/a especialista en SEO con visión estratégica y enfoque en resultados reales.

Estoy desarrollando un proyecto a largo plazo y necesito posicionarlo como referente Nº1 en su nicho y escalar posiciones.
El objetivo: liderar el ranking orgánico en Google.

Busco alguien que pueda:
?? Realizar una auditoría SEO completa (on-page, técnica y de contenido)
?? Proponer una estrategia de posicionamiento a largo plazo
??? Ejecutar mejoras clave y hacer seguimiento continuo de resultados
?? Trabajar en base a KPIs

Si tenés experiencia demostrable en proyectos similares y estás disponible para una colaboración a mediano/largo plazo, me encantaría coordinar

Gracias y quedo atento a tu respuesta.";499;307;fixed;entre 100 y 250 usd;open;FALSO;2025-7-3, 16:45
3155993;8405690;8408392;EC;rebuy;actualizaciones-en-pagina-web-hecha-en-wix;Actualizaciones en página web hecha en Wix;"Necesito apoyo profesional para mejorar una página web que ya está creada en Wix. El sitio actualmente está en línea y cuenta con hosting y dominio activos.

Los objetivos del proyecto son:

-Integrar una tienda online funcional, en la misma plataforma (Wix), con productos cargados (o indicaciones claras para poder cargarlos fácilmente).

-Configurar una pasarela de pagos que permita a los clientes comprar directamente desde la web con tarjeta o medios locales, de forma segura.

-Automatizar el envío de newsletters, recomendando e implementando una herramienta";67;146;fixed;entre 0 y 50 usd;open;VERDADEIRO;2025-7-3, 17:05
3156016;10714638;10717325;BR;rebuy;projeto-estrutural-stell-frame;Projeto estrutural stell frame;"Boa tarde,
Preciso de um profissional que seja especialista em projeto estrutural STELL FRAME 70M2 em anexo imagens do projeto fornecido para desenvolvimento do projeto estrutural";545;875;fixed;entre 0 y 50 usd;open;VERDADEIRO;2025-7-3, 17:32
3156017;12204699;12207755;CA;new;web-designer-needed-for-immigration-law-firm-website-spanish-english-focus;Web Designer Needed for Immigration Law Firm Website – Spanish/English Focus;"We are an immigration law firm based in Toronto, and we’re looking for a web designer to build a professional website from scratch.

The ideal candidate understands Latin American culture, as the site is aimed at a Spanish-speaking audience. The website must convey trust, professionalism, and clarity about immigration services in Canada.

? Bilingual (Spanish/English) site preferred
? Legal or professional website experience is a plus
? Responsive design for mobile and desktop
? Clean, modern layout with easy navigation
? SEO-friendly structure

Preference for someone familiar with the Latino community in Canada or based in Toronto.
Please include your portfolio and relevant past projects when applying.";437;747;fixed;entre 1000 y 3000 usd;open;FALSO;2025-7-3, 17:32
3156030;12201467;12204521;ES;new;disenos-de-paginas-web-y-landing-page;Diseños de Páginas Web y Landing Page;"Diseños de Páginas Web y Landing Page para clínicas dentales y proyectos futuros
Buscamos a profesionales que nos ayuden con la creación de las mismas";437;747;hourly;entre 15 y 45 usd/hs;open;VERDADEIRO;2025-7-3, 17:39
3156032;10714638;10717325;BR;rebuy;projeto-estrutural-shell-frame;Projeto estrutural shell frame;olá boa tarde, estou precisando de profissional que faça este tipo de projeto estrutural shell frame e tenha conhecimentos m softwares;545;875;fixed;entre 50 y 100 usd;open;VERDADEIRO;2025-7-3, 17:40
3156038;4799955;4802704;CL;rebuy;dibujar-en-cad-tres-tipo-de-fitting-de-plastico-color-amarillo-segun-fotos-es-quemas-imagenes-y-videos;Dibujar en cad tres tipo de fitting de plástico color amarillo, según fotos es quemas, imagenes y videos;"Usando Autocad, generar utilizando estos dibujos, fotos, video y planos para crear los cortadores amarillos en forma genérica con el máximo detalle para la información entregada.
Recordar son tres etapas cada una con 5 cortadores de pulpa y uno pequeño al final.
Si no hay más información favor no poner nada.
Generar los planos con la máxima imaginación posible para tener una idea de la forma de los cortadores.
Entregar en dwg  y en pdf
 nota: no se requiere plano de detalle si no de dimensiones generales y orificios.";545;875;fixed;entre 50 y 100 usd;open;VERDADEIRO;2025-7-3, 17:44
3156055;5200053;5202791;BR;rebuy;problemas-integracao-woocommerce-bling;Problemas integração woocommerce bling;"Pagamos para fazer uma integração entre woocommerce e bling e nao ficou boa, o woocommerce esta duplicando produto no bling, variação com imagem errada,  webhooks duplicados, estoque dando erro. Então preciso de alguem experiente para corrigir a integração.
Tenho integração com melhor envio e preciso automatizar tambem pois esta dando erros, entao acho quem integrou nao sabia fazer.";67;858;fixed;entre 100 y 250 usd;cancelled;VERDADEIRO;2025-7-3, 18:02
3156064;2322118;2324934;BR;new;modelagem-revit-a-partir-de-pdf-projeto-arquitetonico-e-combate-a-incendio;Modelagem Revit a partir de Pdf – Projeto Arquitetônico e Combate a Incêndio;"Preciso de um profissional para desenvolver um modelo Revit a partir de duas plantas em PDF: uma planta arquitetônica e outra de combate a incêndio.

Escopo:
Basear-se em arquivo Revit já iniciado por mim (fornecido após aceite).

Manter toda a estrutura existente no arquivo .RVT, exceto as áreas de troca de óleo e depósito, que devem ser removidas.

Complementar a modelagem com os elementos que faltam, conforme os PDFs.

Aplicar ajustes finos em paredes, eixos, simbologias e cotas.

Entregar arquivo final em formato .RVT editável, bem organizado (layers, famílias básicas).

?? Materiais disponíveis:
Arquivo inicial em Revit (.rvt).

Planta arquitetônica em PDF.

Planta de combate a incêndio em PDF.

?? Requisitos:
Experiência com Revit (favor enviar portfólio ou exemplos).

Atenção a detalhes gráficos e técnicos.

Entrega dentro do prazo acordado.";545;875;fixed;entre 0 y 50 usd;finished;VERDADEIRO;2025-7-3, 18:09
3156126;10067760;10070449;BR;rebuy;ajuste-de-hospedagem;Ajuste de hospedagem;"Preciso migrar meu site WordPress com um template já instalado e configurado para uma nova hospedagem.
O site está fora do ar e preciso que ele volte o quanto antes.";67;858;fixed;entre 0 y 50 usd;finished;VERDADEIRO;2025-7-3, 19:03
3156131;1800539;1803369;CO;new;ingiera-de-proyectos;Ingiera de proyectos;Experiencia en energia solar, ejecución de proyectos, diseños de sistemas solares FV, PvSys y similares, conocimiento en diseño electrico, tramites de operadores de red, etc.;545;875;fixed;entre 0 y 50 usd;open;FALSO;2025-7-3, 19:06
3156155;252685;252716;VE;rebuy;eliminacion-codigo-innecesario-javascript-y-ccs;Ajuste Seo Site;"Tuvimos que hacer un ajuste en el pedido inicial, aún nos encontramos realizando optimización SEO de un sitio web con la finalidad de recuperar nuestro posicionamiento y se necesitan realizar las siguientes actividades:
1) Eliminar código innecesario en JavaScript y CCS
2) Actualizar 546 páginas que actualmente tienen doble etiqueta body
3) Actualizar del Lazyload

Se requiere estimación en tiempo de ejecución y valor de cada actividad";499;307;fixed;entre 250 y 500 usd;rating;VERDADEIRO;2025-7-3, 19:36
